"Time Stamp","Time Zone","Name","PTID","Load"
"07/27/2025 02:25:00","EDT","CAPITL",61757,1377.8903
"07/27/2025 02:25:00","EDT","CENTRL",61754,1789.8475
"07/27/2025 02:25:00","EDT","DUNWOD",61760,673.233
"07/27/2025 02:25:00","EDT","GENESE",61753,1219.7231
"07/27/2025 02:25:00","EDT","HUD VL",61758,1116.7827
"07/27/2025 02:25:00","EDT","LONGIL",61762,2361.9282
"07/27/2025 02:25:00","EDT","MHK VL",61756,881.4473
"07/27/2025 02:25:00","EDT","MILLWD",61759,289.1045
"07/27/2025 02:25:00","EDT","N.Y.C.",61761,5924.5615
"07/27/2025 02:25:00","EDT","NORTH",61755,563.7913
"07/27/2025 02:25:00","EDT","WEST",61752,1947.0028
"07/27/2025 02:30:00","EDT","CAPITL",61757,1373.4751
"07/27/2025 02:30:00","EDT","CENTRL",61754,1794.5476
"07/27/2025 02:30:00","EDT","DUNWOD",61760,668.6721
"07/27/2025 02:30:00","EDT","GENESE",61753,1213.1089
"07/27/2025 02:30:00","EDT","HUD VL",61758,1122.4443
"07/27/2025 02:30:00","EDT","LONGIL",61762,2351.0342
"07/27/2025 02:30:00","EDT","MHK VL",61756,879.0267
"07/27/2025 02:30:00","EDT","MILLWD",61759,293.6508
"07/27/2025 02:30:00","EDT","N.Y.C.",61761,5921.974
"07/27/2025 02:30:00","EDT","NORTH",61755,554.4268
"07/27/2025 02:30:00","EDT","WEST",61752,1917.4246
"07/27/2025 02:35:00","EDT","CAPITL",61757,1368.944
"07/27/2025 02:35:00","EDT","CENTRL",61754,1812.6154
"07/27/2025 02:35:00","EDT","DUNWOD",61760,672.5815
"07/27/2025 02:35:00","EDT","GENESE",61753,1215.4355
"07/27/2025 02:35:00","EDT","HUD VL",61758,1089.0293
"07/27/2025 02:35:00","EDT","LONGIL",61762,2338.016
"07/27/2025 02:35:00","EDT","MHK VL",61756,876.2939
"07/27/2025 02:35:00","EDT","MILLWD",61759,282.884
"07/27/2025 02:35:00","EDT","N.Y.C.",61761,5895.587
"07/27/2025 02:35:00","EDT","NORTH",61755,572.9957
"07/27/2025 02:35:00","EDT","WEST",61752,1921.2031
"07/27/2025 02:40:00","EDT","CAPITL",61757,1362.3186
"07/27/2025 02:40:00","EDT","CENTRL",61754,1781.2576
"07/27/2025 02:40:00","EDT","DUNWOD",61760,673.0269
"07/27/2025 02:40:00","EDT","GENESE",61753,1211.3169
"07/27/2025 02:40:00","EDT","HUD VL",61758,1128.229
"07/27/2025 02:40:00","EDT","LONGIL",61762,2328.6045
"07/27/2025 02:40:00","EDT","MHK VL",61756,873.181
"07/27/2025 02:40:00","EDT","MILLWD",61759,280.2596
"07/27/2025 02:40:00","EDT","N.Y.C.",61761,5885.976
"07/27/2025 02:40:00","EDT","NORTH",61755,571.5955
"07/27/2025 02:40:00","EDT","WEST",61752,1932.9105
"07/27/2025 02:45:00","EDT","CAPITL",61757,1355.9473
"07/27/2025 02:45:00","EDT","CENTRL",61754,1755.2848
"07/27/2025 02:45:00","EDT","DUNWOD",61760,670.4769
"07/27/2025 02:45:00","EDT","GENESE",61753,1206.654
"07/27/2025 02:45:00","EDT","HUD VL",61758,1118.6943
"07/27/2025 02:45:00","EDT","LONGIL",61762,2329.198
"07/27/2025 02:45:00","EDT","MHK VL",61756,889.9847
"07/27/2025 02:45:00","EDT","MILLWD",61759,265.1489
"07/27/2025 02:45:00","EDT","N.Y.C.",61761,5873.7437
"07/27/2025 02:45:00","EDT","NORTH",61755,541.3798
"07/27/2025 02:45:00","EDT","WEST",61752,1920.1533
"07/27/2025 02:50:00","EDT","CAPITL",61757,1353.0132
"07/27/2025 02:50:00","EDT","CENTRL",61754,1795.834
"07/27/2025 02:50:00","EDT","DUNWOD",61760,664.2155
"07/27/2025 02:50:00","EDT","GENESE",61753,1205.0249
"07/27/2025 02:50:00","EDT","HUD VL",61758,1098.6895
"07/27/2025 02:50:00","EDT","LONGIL",61762,2306.0352
"07/27/2025 02:50:00","EDT","MHK VL",61756,855.0167
"07/27/2025 02:50:00","EDT","MILLWD",61759,280.7386
"07/27/2025 02:50:00","EDT","N.Y.C.",61761,5865.239
"07/27/2025 02:50:00","EDT","NORTH",61755,573.8937
"07/27/2025 02:50:00","EDT","WEST",61752,1912.9656
"07/27/2025 02:55:00","EDT","CAPITL",61757,1375.6147
"07/27/2025 02:55:00","EDT","CENTRL",61754,1783.0521
"07/27/2025 02:55:00","EDT","DUNWOD",61760,666.9403
"07/27/2025 02:55:00","EDT","GENESE",61753,1202.4388
"07/27/2025 02:55:00","EDT","HUD VL",61758,1086.7778
"07/27/2025 02:55:00","EDT","LONGIL",61762,2297.1335
"07/27/2025 02:55:00","EDT","MHK VL",61756,877.156
"07/27/2025 02:55:00","EDT","MILLWD",61759,278.7902
"07/27/2025 02:55:00","EDT","N.Y.C.",61761,5845.378
"07/27/2025 02:55:00","EDT","NORTH",61755,553.3027
"07/27/2025 02:55:00","EDT","WEST",61752,1918.2509
"07/27/2025 03:00:00","EDT","CAPITL",61757,1375.3843
"07/27/2025 03:00:00","EDT","CENTRL",61754,1760.4174
"07/27/2025 03:00:00","EDT","DUNWOD",61760,670.7358
"07/27/2025 03:00:00","EDT","GENESE",61753,1192.2622
"07/27/2025 03:00:00","EDT","HUD VL",61758,1073.4302
"07/27/2025 03:00:00","EDT","LONGIL",61762,2285.6658
"07/27/2025 03:00:00","EDT","MHK VL",61756,870.2832
"07/27/2025 03:00:00","EDT","MILLWD",61759,269.267
"07/27/2025 03:00:00","EDT","N.Y.C.",61761,5821.3105
"07/27/2025 03:00:00","EDT","NORTH",61755,568.0992
"07/27/2025 03:00:00","EDT","WEST",61752,1914.7358
"07/27/2025 03:05:00","EDT","CAPITL",61757,1380.5527
"07/27/2025 03:05:00","EDT","CENTRL",61754,1730.3448
"07/27/2025 03:05:00","EDT","DUNWOD",61760,670.9707
"07/27/2025 03:05:00","EDT","GENESE",61753,1195.6182
"07/27/2025 03:05:00","EDT","HUD VL",61758,1075.7695
"07/27/2025 03:05:00","EDT","LONGIL",61762,2276.2656
"07/27/2025 03:05:00","EDT","MHK VL",61756,864.3519
"07/27/2025 03:05:00","EDT","MILLWD",61759,254.5526
"07/27/2025 03:05:00","EDT","N.Y.C.",61761,5804.6104
"07/27/2025 03:05:00","EDT","NORTH",61755,551.458
"07/27/2025 03:05:00","EDT","WEST",61752,1911.984
"07/27/2025 03:10:00","EDT","CAPITL",61757,1362.4296
"07/27/2025 03:10:00","EDT","CENTRL",61754,1765.2942
"07/27/2025 03:10:00","EDT","DUNWOD",61760,648.9878
"07/27/2025 03:10:00","EDT","GENESE",61753,1193.0656
"07/27/2025 03:10:00","EDT","HUD VL",61758,1084.1669
"07/27/2025 03:10:00","EDT","LONGIL",61762,2284.8306
"07/27/2025 03:10:00","EDT","MHK VL",61756,862.8004
"07/27/2025 03:10:00","EDT","MILLWD",61759,280.8703
"07/27/2025 03:10:00","EDT","N.Y.C.",61761,5829.7334
"07/27/2025 03:10:00","EDT","NORTH",61755,548.7378
